HOSTNAME,HOSTSTATE,MACHINETYPE,IPADDR,NETMASK,GATEWAY,CUSTOMER,CONTRACT,SOURCE,VLAN,DESCRIPTION
"ACDB02","Up","Azure VM","10.76.96.44","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PRODUCTION"
"ACDMZPRDDC01","Up","Vmachine with HW Failover","10.199.16.241","","","Atlas Copco","Atlas ACDMZ","Manual entry","","ADMIN"
"ACDMZPRDDC01","Up","Vmachine with HW Failover","192.168.146.141","","","Atlas Copco","Atlas ACDMZ","Manual entry","","BACKUP"
"ACDMZPRDDC01","Up","Vmachine with HW Failover","10.26.9.13","","","Atlas Copco","Atlas ACDMZ","Manual entry","","PRODUCTION DMZ_VLAN_725"
"ACDMZPRDDC01","Up","Vmachine with HW Failover","10.199.16.241","","","Atlas Copco","Atlas ACDMZ","VMWare","ADMIN_VLAN_2117",""
"ACDMZPRDDC01","Up","Vmachine with HW Failover","192.168.146.141","","","Atlas Copco","Atlas ACDMZ","VMWare","BACKUP_VLAN_3517",""
"ACDMZPRDDC01","Up","Vmachine with HW Failover","10.26.9.13","","","Atlas Copco","Atlas ACDMZ","VMWare","DMZ_VLAN_725",""
"ACDMZPRDDC01","Up","Vmachine with HW Failover","10.26.9.13","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZPRDDC01","Up","Vmachine with HW Failover","192.168.146.141","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZPRDDC01","Up","Vmachine with HW Failover","10.199.16.241","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZPRDDC02","Up","Vmachine with HW Failover","10.199.16.206","","","Atlas Copco","Atlas ACDMZ","Manual entry","","ADMIN"
"ACDMZPRDDC02","Up","Vmachine with HW Failover","192.168.16.206","","","Atlas Copco","Atlas ACDMZ","Manual entry","","BACKUP"
"ACDMZPRDDC02","Up","Vmachine with HW Failover","10.26.9.15","","","Atlas Copco","Atlas ACDMZ","Manual entry","","Production"
"ACDMZPRDDC02","Up","Vmachine with HW Failover","10.26.9.15","","","Atlas Copco","Atlas ACDMZ","VMWare","auth-int-vlan-725",""
"ACDMZPRDDC02","Up","Vmachine with HW Failover","10.26.9.15","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZSTGDC01","Up","Vmachine with HW Failover","10.199.16.242","","","Atlas Copco","Atlas ACDMZ","Manual entry","","ADMIN"
"ACDMZSTGDC01","Up","Vmachine with HW Failover","192.168.146.150","","","Atlas Copco","Atlas ACDMZ","Manual entry","","BACKUP"
"ACDMZSTGDC01","Up","Vmachine with HW Failover","10.26.9.14","","","Atlas Copco","Atlas ACDMZ","Manual entry","","PRODUCTION DMZ_VLAN_725"
"ACDMZSTGDC01","Up","Vmachine with HW Failover","10.199.16.242","","","Atlas Copco","Atlas ACDMZ","VMWare","ADMIN_VLAN_2117",""
"ACDMZSTGDC01","Up","Vmachine with HW Failover","192.168.146.150","","","Atlas Copco","Atlas ACDMZ","VMWare","BACKUP_VLAN_3517",""
"ACDMZSTGDC01","Up","Vmachine with HW Failover","10.26.9.14","","","Atlas Copco","Atlas ACDMZ","VMWare","DMZ_VLAN_725",""
"ACDMZSTGDC01","Up","Vmachine with HW Failover","10.26.9.14","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZSTGDC01","Up","Vmachine with HW Failover","10.199.16.242","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZSTGDC01","Up","Vmachine with HW Failover","192.168.146.150","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACDMZSTGDC02","Up","Vmachine with HW Failover","10.199.16.207","","","Atlas Copco","Atlas ACDMZ","Manual entry","","ADMIN"
"ACDMZSTGDC02","Up","Vmachine with HW Failover","192.168.16.207","","","Atlas Copco","Atlas ACDMZ","Manual entry","","BACKUP"
"ACDMZSTGDC02","Up","Vmachine with HW Failover","10.26.9.16","","","Atlas Copco","Atlas ACDMZ","Manual entry","","Production"
"ACDMZSTGDC02","Up","Vmachine with HW Failover","10.26.9.16","","","Atlas Copco","Atlas ACDMZ","VMWare","auth-int-vlan-725",""
"ACDMZSTGDC02","Up","Vmachine with HW Failover","10.26.9.16","","","Atlas Copco","Atlas ACDMZ","SCOM","",""
"ACEAILOGGING","Up","Azure VM","10.76.96.32","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PRODUCTION"
"ACEAILOGGING","Up","Azure VM","10.76.96.32","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACEAILOGGING","Up","Azure VM","fe80::64b9:9864:b264:799d%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACE-ANTIVIRUS","Disposed","Hardware Machine","10.49.48.245","","","Atlas Copco","Atlas not in scope","Manual entry","","PRODUCTION"
"ACE-CUMULUS","Disposed","Vmachine with HW Failover","10.49.48.22","","","Atlas Copco","Atlas not in scope","Manual entry","",""
"ACE-SYSTEM","Disposed","Vmachine with HW Failover","10.49.49.3","","","Atlas Copco","Atlas not in scope","Manual entry","",""
"ACE-TERMINAL","Disposed","Hardware Machine","10.49.49.250","","","Atlas Copco","Atlas not in scope","Manual entry","",""
"ACGSBEAS1000","Up","Vmachine with HW Failover","10.126.145.50","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ACGSBEAS1000"
"ACGSBEAS1000","Up","Vmachine with HW Failover","fe80::31ef:18b6:c234:bdec 10.126.145.50","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"ACGSBEAS1000","Up","Vmachine with HW Failover","10.126.145.50","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACGSBEAS1000","Up","Vmachine with HW Failover"," fe80::31ef:18b6:c234:bdec","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACGSBEAS1001","Up","Vmachine with HW Failover","10.126.145.51","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ACGSBEAS1001"
"ACGSBEAS1001","Up","Vmachine with HW Failover","10.126.145.51","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"ACGSBEAS1001","Up","Vmachine with HW Failover","10.126.145.51","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACGSBEAS1002","Disposed","Vmachine with HW Failover","10.126.145.165","255.255.255.0","10.126.145.1","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"ACHBEAP4000","Up","Vmachine with HW Failover","10.126.146.41","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PRODUCTION"
"ACHBEAP4000","Up","Vmachine with HW Failover","10.126.146.41","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"ACHBEAP4000","Up","Vmachine with HW Failover","10.126.146.41","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACHSVDI0001","Up","Azure VM","10.76.113.103 ","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"ACHSVDI0001","Up","Azure VM","10.76.118.7","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACHSVDI0001","Up","Azure VM"," fe80::30e1:462c:ee02:286c","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACHSVDI0001","Up","Azure VM","10.76.118.7","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACHSVDI0001","Up","Azure VM","fe80::30e1:462c:ee02:286c%13","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACHSVDI0002","Up","Azure VM","10.76.113.104","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"ACHSVDI0002","Up","Azure VM","10.76.118.8","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"ACHSVDI0002","Up","Azure VM","fe80::6857:a601:5652:eb4d%10","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AC-IAM-VM-D","Transition","Vmachine with HW Failover","10.76.96.72","","","Atlas Copco","Atlas Servers with limited services EMEA","Manual entry","",""
"ACNP002","Disposed","Vmachine with HW Failover","10.25.5.56","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"ACNP002","Disposed","Vmachine with HW Failover","10.253.0.64","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"ACPSBEAPACPR03","Up","Vmachine with HW Failover","10.26.18.24","","","Atlas Copco","Atlas Shoponline","Manual entry","","Production"
"ACPSBEAPACPR03","Up","Vmachine with HW Failover","10.26.18.24","","","Atlas Copco","Atlas Shoponline","VMWare","mt-prod-vlan-563",""
"ACPSBEAPACPR03","Up","Vmachine with HW Failover","10.26.18.24","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPACPR03","Up","Vmachine with HW Failover","10.26.18.24","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPACST02","Up","Vmachine with HW Failover","10.26.21.15","","","Atlas Copco","Atlas Shoponline","Manual entry","","Production"
"ACPSBEAPACST02","Up","Vmachine with HW Failover","10.26.21.15","","","Atlas Copco","Atlas Shoponline","VMWare","mt-acc-test-vlan-562",""
"ACPSBEAPACST02","Up","Vmachine with HW Failover","10.26.21.15","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPACST02","Up","Vmachine with HW Failover","10.26.21.15","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPACST04","Up","Vmachine with HW Failover","10.26.20.111","","","Atlas Copco","Atlas Shoponline","Manual entry","",""
"ACPSBEAPACST04","Up","Vmachine with HW Failover","10.26.20.111","","","Atlas Copco","Atlas Shoponline","Manual entry","","Production"
"ACPSBEAPACST04","Up","Vmachine with HW Failover","10.26.20.111","","","Atlas Copco","Atlas Shoponline","VMWare","be-acc-test-vlan-560",""
"ACPSBEAPACST04","Up","Vmachine with HW Failover","10.26.20.111","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPACST04","Up","Vmachine with HW Failover","10.26.20.111","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPACST04","Up","Vmachine with HW Failover","10.26.20.111","","","Atlas Copco","Atlas Shoponline","SCOM","",""
"ACPSBEAPCCPR04","Disposed","Vmachine with HW Failover","10.26.18.200","","","Atlas Copco","Atlas WEBCMS","Manual entry","","Virtual ip"
"ACPSBEAPCCPR04","Disposed","Vmachine with HW Failover","10.199.17.206","","","Atlas Copco","Atlas WEBCMS","Manual entry","","ADMIN"
"ACPSBEAPCCPR04","Disposed","Vmachine with HW Failover","192.168.146.147","","","Atlas Copco","Atlas WEBCMS","Manual entry","","BACKUP"
"ACPSBEAPCCPR04","Disposed","Vmachine with HW Failover","10.26.18.36","","","Atlas Copco","Atlas WEBCMS","Manual entry","","Production"
"ACPSBEAPCCPR06","Disposed","Vmachine with HW Failover","10.199.17.207","","","Atlas Copco","Atlas WEBCMS","Manual entry","","ADMIN"
"ACPSBEAPCCPR06","Disposed","Vmachine with HW Failover","172.21.115.95","","","Atlas Copco","Atlas WEBCMS","Manual entry","","BACKUP"
"ACPSBEAPCCPR06","Disposed","Vmachine with HW Failover","10.26.18.38","","","Atlas Copco","Atlas WEBCMS","Manual entry","","Production"
"ACPSBEAPCCPR06","Disposed","Vmachine with HW Failover","192.168.145.207","","","Atlas Copco","Atlas WEBCMS","Manual entry","",""
"ACPSBEAPCCTE02","Disposed","Vmachine with HW Failover","10.199.17.69","","","Atlas Copco","Atlas Speed","Manual entry","","ADMIN"
"ACPSBEAPCCTE02","Disposed","Vmachine with HW Failover","192.168.145.69","","","Atlas Copco","Atlas Speed","Manual entry","","BACKUP"
"ACPSBEAPCCTE02","Disposed","Vmachine with HW Failover","10.26.22.23","","","Atlas Copco","Atlas Speed","Manual entry","","DMZ"
"ACPSBEAPCCTE02","Disposed","Vmachine with HW Failover","172.26.18.38","","","Atlas Copco","Atlas Speed","Manual entry","","DMZ"
"ACPSBEAPCCTE02","Disposed","Vmachine with HW Failover","193.109.73.77","","","Atlas Copco","Atlas Speed","Manual entry",""," Internet IP adress "
"ACPSBEAPFL01","Disposed","Vmachine with HW Failover","10.26.21.21","","","Atlas Copco","Atlas Speed","Manual entry","","Production"
"ACPSBEAPPC01","Disposed","Vmachine with HW Failover","193.109.72.80","","","Atlas Copco","Atlas CTIS","Manual entry","","internet ip"
"ACPSBEAPPC01","Disposed","Vmachine with HW Failover","10.26.23.10","","","Atlas Copco","Atlas CTIS","Manual entry","","Production"
"ACPSBEAPPC01","Disposed","Vmachine with HW Failover","172.23.13.10","","","Atlas Copco","Atlas CTIS","Manual entry","","Production"
"ACPSBEAPPC01","Disposed","Vmachine with HW Failover","172.23.12.10","","","Atlas Copco","Atlas CTIS","Manual entry","","Production"
"ACPSBEAPSMRQ01","Disposed","Vmachine with HW Failover","10.126.149.23","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"ACPSBEAPSMRQ01","Disposed","Vmachine with HW Failover","10.26.20.230","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"ACPSBEAPSP0001","Disposed","Vmachine with HW Failover","10.26.17.93","","","Atlas Copco","Atlas Speed","Manual entry","","Production"
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.199.16.220","","","Atlas Copco","Atlas Syncron","Manual entry","","ADMIN"
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","192.168.16.220","","","Atlas Copco","Atlas Syncron","Manual entry","","BACKUP"
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.26.14.82","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.26.14.84","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.26.14.85","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.199.16.220","","","Atlas Copco","Atlas Syncron","VMWare","ADMIN_VLAN_2117",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","192.168.16.220","","","Atlas Copco","Atlas Syncron","VMWare","BACKUP_VLAN_2517",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.26.14.82 10.26.14.84 10.26.14.85","","","Atlas Copco","Atlas Syncron","VMWare","PROD_VLAN_556",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.126.173.26","","","Atlas Copco","Atlas Syncron","VMWare","PROD_VLAN_576",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","192.168.16.220","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.199.16.220","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.126.173.26","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover","10.26.14.85","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover"," 10.26.14.84","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR11","Up","Vmachine with HW Failover"," 10.26.14.82","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","192.168.16.221","","","Atlas Copco","Atlas Syncron","Manual entry","","BACKUP"
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.26.14.83","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.26.14.86","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.199.16.221","","","Atlas Copco","Atlas Syncron","Manual entry","","ADMIN"
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.199.16.221","","","Atlas Copco","Atlas Syncron","VMWare","ADMIN_VLAN_2117",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","192.168.16.221","","","Atlas Copco","Atlas Syncron","VMWare","BACKUP_VLAN_2517",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.26.14.83 10.26.14.86","","","Atlas Copco","Atlas Syncron","VMWare","PROD_VLAN_556",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.126.173.27","","","Atlas Copco","Atlas Syncron","VMWare","PROD_VLAN_576",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.26.14.86","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover"," 10.26.14.83","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.126.173.27","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","192.168.16.221","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYPR12","Up","Vmachine with HW Failover","10.199.16.221","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST01","Disposed","Hardware Machine","10.199.16.20","255.255.252.0","10.199.16.1","Atlas Copco","Atlas Speed","Manual entry","","admin"
"ACPSBEAPSYST11","Up","Vmachine with HW Failover","10.26.20.88","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYST11","Up","Vmachine with HW Failover","fe80::8d1:2577:fc6d:681a 10.126.149.23","","","Atlas Copco","Atlas Syncron","VMWare","be_TestDev45_vlan_845_dpc",""
"ACPSBEAPSYST11","Up","Vmachine with HW Failover","10.26.20.88","","","Atlas Copco","Atlas Syncron","VMWare","be-acc-test-vlan-560",""
"ACPSBEAPSYST11","Up","Vmachine with HW Failover","10.126.149.23","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST11","Up","Vmachine with HW Failover"," fe80::8d1:2577:fc6d:681a","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST11","Up","Vmachine with HW Failover","10.26.20.88","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","10.199.18.189","","","Atlas Copco","Atlas Syncron","Manual entry","","ADMIN"
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","10.26.17.155","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","10.26.17.158","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","192.168.16.179","","","Atlas Copco","Atlas Syncron","Manual entry","","BACKUP"
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","fe80::c3b:822e:9319:eba0 10.26.17.155","","","Atlas Copco","Atlas Syncron","VMWare","be-prd-vlan-561",""
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","10.126.173.28","","","Atlas Copco","Atlas Syncron","VMWare","be-prd-vlan-561",""
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","10.126.173.28","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST12","Up","Vmachine with HW Failover","10.26.17.155","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST12","Up","Vmachine with HW Failover"," fe80::c3b:822e:9319:eba0","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","10.199.18.190","","","Atlas Copco","Atlas Syncron","Manual entry","","ADMIN"
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","10.26.17.156","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","10.26.17.157","","","Atlas Copco","Atlas Syncron","Manual entry","","Production"
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","192.168.16.180","","","Atlas Copco","Atlas Syncron","Manual entry","","BACKUP"
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","fe80::d404:6ea:60af:1699 10.26.17.156 10.26.17.157 10.26.17.158","","","Atlas Copco","Atlas Syncron","VMWare","be-prd-vlan-561",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","10.126.173.29","","","Atlas Copco","Atlas Syncron","VMWare","be-prd-vlan-561",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","10.26.17.158","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover"," 10.26.17.157","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover"," 10.26.17.156","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover"," fe80::d404:6ea:60af:1699","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEAPSYST13","Up","Vmachine with HW Failover","10.126.173.29","","","Atlas Copco","Atlas Syncron","SCOM","",""
"ACPSBEBWISE01","Disposed","Hardware Machine","10.26.17.114","","","Atlas Copco","Atlas Speed","Manual entry","","PROD"
"ACPSBEBWISE01","Disposed","Hardware Machine","172.23.4.56","","","Atlas Copco","Atlas Speed","Manual entry","","ADMIN"
"ACPSBEBWISE01","Disposed","Hardware Machine","172.23.10.60","","","Atlas Copco","Atlas Speed","Manual entry","","Backup"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.105","","","Atlas Copco","Atlas Speed","Manual entry","","ACPSBEDB0010 Tridion Instance (disposed)"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.106","","","Atlas Copco","Atlas Speed","Manual entry","","ACPSBEDB0011 BOL/MOL Instance"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.107","","","Atlas Copco","Atlas Speed","Manual entry","","ACPSBEDB0012 ShopOnline instance"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.108","","","Atlas Copco","Atlas Speed","Manual entry","","ACPSBEDB0013 Shared Instance"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.199.17.59","","","Atlas Copco","Atlas Speed","Manual entry","","ADMIN"
"ACPSBEDB0001","Up","Vmachine with HW Failover","192.168.17.59","","","Atlas Copco","Atlas Speed","Manual entry","","BACKUP"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.104","","","Atlas Copco","Atlas Speed","Manual entry","","Production"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.150","","","Atlas Copco","Atlas Speed","Manual entry","","Production"
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.199.17.59","","","Atlas Copco","Atlas Speed","VMWare","ADMIN_VLAN_2117",""
"ACPSBEDB0001","Up","Vmachine with HW Failover","192.168.17.59","","","Atlas Copco","Atlas Speed","VMWare","BACKUP_VLAN_2517",""
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.104 10.26.20.105 10.26.20.106 10.26.20.107 10.26.20.108 10.26.20.150","","","Atlas Copco","Atlas Speed","VMWare","PROD_VLAN_560",""
"ACPSBEDB0001","Up","Vmachine with HW Failover","10.26.20.150","","","Atlas Copco","Atlas Speed","SCOM","",""
"ACPSBEDB0001","Up","Vmachine with HW Failover"," 10.26.20.108","","","Atlas Copco","Atlas Speed","SCOM","",""
"ACPSBEDB0001","Up","Vmachine with HW Failover"," 10.26.20.107","","","Atlas Copco","Atlas Speed","SCOM","",""
"ACPSBEDB0001","Up","Vmachine with HW Failover"," 10.26.20.106","","","Atlas Copco","Atlas Speed","SCOM","",""
